visitorid,itemid,predicted_prob
17,138434,0.0967734
52,108504,0.03933808
74,57171,0.63807166
74,57171,0.63807166
74,57171,0.63807166
74,45410,0.071233034
74,59574,0.071233034
91,79513,0.007902662
109,216019,0.10031791
122,301278,0.031707276
137,383819,0.007662861
162,248862,0.23366055
162,390093,0.15229994
162,305656,0.1480706
162,1152,0.044612218
195,414460,0.28298098
202,62641,0.062556766
257,163007,0.13862094
261,413411,0.007673459
283,405124,0.013749547
327,62973,0.026676305
337,176881,0.035484817
381,465276,0.1091525
381,304537,0.05815192
437,332816,0.07503434
454,439343,0.10185104
458,182419,0.13042712
458,182419,0.13042712
472,102306,0.012947155
476,87853,0.008438961
488,233072,0.037440106
533,360664,0.057382286
581,388097,0.05294456
583,53108,0.007081751
586,56630,0.028669834
596,70026,0.4816932
596,70026,0.46619093
604,366667,0.35026535
604,80096,0.35026535
604,242771,0.35026535
604,124896,0.35026535
604,167395,0.35026535
614,122867,0.006091583
623,48892,0.07353322
705,109312,0.028053895
718,285032,0.008021842
756,373384,0.050087765
765,287017,0.8002273
765,287017,0.8002273
765,287017,0.8002273
780,194010,0.046011023
845,351530,0.7673892
845,351530,0.7673892
845,351530,0.7673892
859,232610,0.20705602
859,257575,0.1815929
859,192409,0.10636369
859,257040,0.10045362
909,402684,0.042840913
917,412416,0.06755247
917,396254,0.02496619
924,20594,0.076991126
940,447360,0.06558358
940,303341,0.020819407
941,117283,0.119902514
942,455141,0.4343954
942,455141,0.40098587
947,335975,0.011552916
953,126332,0.0768347
991,388833,0.042840913
1048,226468,0.008398713
1058,142046,0.0075323586
1084,170253,0.22014043
1092,347244,0.5318654
1092,347244,0.49160942
1092,446409,0.42700297
1103,80660,0.07794115
1105,30393,0.1361286
1105,159822,0.09114407
1181,355583,0.007175856
1280,238059,0.104029514
1289,335873,0.041052908
1322,14387,0.025908634
1322,96924,0.0071225413
1356,259775,0.007926996
1409,331168,0.061239198
1411,8436,0.033220045
1425,144521,0.10185104
1484,420892,0.16026464
1485,32971,0.083464056
1492,442389,0.019327702
1638,217869,0.07395763
1654,123555,0.59664303
1654,123555,0.59664303
1654,123555,0.59664303
1654,123555,0.59664303
1667,317107,0.08582848
1675,178180,0.01956323
1677,59508,0.07065813
1681,138861,0.013300137
1713,270144,0.5382754
1713,270144,0.5382754
1722,381314,0.54858136
1722,381314,0.54132545
1722,381314,0.50583553
1722,381314,0.4564578
1722,381314,0.4564578
1754,288285,0.013939571
1755,440216,0.8020047
1755,440216,0.77580315
1755,440216,0.77580315
1756,150100,0.21324506
1756,346892,0.14417098
1756,296448,0.13964808
1781,155472,0.007081751
1782,460188,0.09095008
1782,191303,0.0307089
1806,464477,0.043255396
1839,435940,0.007848433
1852,75745,0.43534964
1852,75745,0.43534964
1852,75745,0.43534964
1879,437362,0.004688685
1893,55456,0.019327702
1896,193730,0.0772689
1948,72422,0.6130725
1948,72422,0.5513842
2019,328869,0.8238597
2019,445559,0.80441856
2019,445559,0.80441856
2019,445559,0.80441856
2019,393144,0.803352
2055,188148,0.7540021
2055,188148,0.7540021
2073,391867,0.05997173
2073,443411,0.026577424
2075,445105,0.030845884
2081,221146,0.00369773
2110,273890,0.77310205
2110,273890,0.77310205
2110,273890,0.77310205
2110,268755,0.7390134
2110,33598,0.5900655
2150,404479,0.0075323586
2160,280029,0.083483085
2168,453227,0.3776101
2168,453227,0.3776101
2193,448274,0.07151305
2219,162869,0.03909005
2219,215363,0.03909005
2269,342439,0.009394099
2274,301296,0.06644377
2274,12426,0.030704223
2325,188688,0.042840913
2335,212847,0.09597608
2360,39794,0.15521823
2366,221428,0.01012467
2387,28893,0.15867196
2387,190172,0.14021975
2387,453390,0.13875583
2418,443167,0.02703472
2479,219689,0.013705325
2494,93428,0.21226428
2494,93428,0.21226428
2610,159856,0.08740497
2642,13248,0.0072815455
2650,53821,0.007848433
2681,312594,0.21780425
2681,202460,0.10777598
2681,255908,0.10774847
2681,211883,0.06161562
2715,351626,0.05076104
2770,115525,0.15460171
2777,133814,0.041795883
2792,207840,0.008239612
2862,273480,0.4774527
2862,273480,0.41122022
2862,273480,0.41122022
2879,415242,0.04321354
2900,280330,0.01012467
2932,231672,0.005077088
2963,397575,0.042840913
2976,356279,0.0052534016
2980,237021,0.08599357
3023,356571,0.00878372
3032,270232,0.042840913
3054,211601,0.023464257
3059,60192,0.0513538
3068,35913,0.033290964
3069,21690,0.025361868
3074,14671,0.08763505
3074,455043,0.08225675
3094,206930,0.0697007
3109,463280,0.70394933
3109,463280,0.70394933
3136,381501,0.10185104
3137,175479,0.013059029
3139,26374,0.72759163
3139,26374,0.72759163
3139,26374,0.72759163
3139,26374,0.7206596
3139,62496,0.63521993
3180,397820,0.09953841
3180,202580,0.09273367
3180,27885,0.0643027
3189,359607,0.027356846
3215,220165,0.055882763
3217,88444,0.07616659
3217,240289,0.035062637
3259,281439,0.223436
3295,240452,0.0062744375
3305,167750,0.053455226
3311,446976,0.009394099
3358,216293,0.83545065
3358,216293,0.83545065
3358,216293,0.83545065
3364,129827,0.057892077
3390,433759,0.35463798
3390,399608,0.22639103
3390,399608,0.22639103
3390,30502,0.085454784
3390,171042,0.085454784
3403,173455,0.20298807
3403,173455,0.1840912
3418,249856,0.03933808
3421,153935,0.11127079
3473,442131,0.8523802
3473,442131,0.8523802
3473,442131,0.8355704
3493,455347,0.0074576777
3521,296480,0.0668794
3544,399678,0.006091583
3551,263743,0.034321185
3559,168653,0.022860035
3577,307577,0.05783895
3577,165699,0.028760903
3606,372188,0.07931822
3651,105223,0.022766814
3658,222068,0.5452376
3658,222068,0.5452376
3672,72983,0.07475898
3711,268081,0.10662679
3739,53644,0.009563734
3751,54556,0.0052534016
3833,33487,0.20205626
3849,99281,0.0069554606
3861,112445,0.15143004
3861,235143,0.14836103
3877,185553,0.072524995
3926,335331,0.88388336
3926,335331,0.88388336
3926,335331,0.86572385
3952,281813,0.021622574
3952,184776,0.021622574
3956,242730,0.33509412
3956,181673,0.17675741
3956,380971,0.14104229
3956,425726,0.12301941
3966,340420,0.02367828
4008,280465,0.02939782
4049,309738,0.00897902
4078,272907,0.076866604
4123,312094,0.058595035
4289,364311,0.043860972
4313,39567,0.042840913
4346,76426,0.80119205
4346,76426,0.80119205
4346,76426,0.80119205
4346,76426,0.80119205
4346,76426,0.80119205
4392,145147,0.10185104
4409,400686,0.060173932
4458,312427,0.012033854
4475,193304,0.047150128
4475,125195,0.033407006
4523,277967,0.03871459
4539,381721,0.008239612
4550,271548,0.13042712
4550,271548,0.13042712
4572,104311,0.1276946
4572,336622,0.03785237
4639,371306,0.07106525
4652,167505,0.00878372
4667,30864,0.022843504
4671,443329,0.46246994
4671,440023,0.39301062
4671,440023,0.39301062
4688,402538,0.40445414
4688,402538,0.40445414
4735,112715,0.19120799
4735,112715,0.19120799
4735,252100,0.11339335
4735,339533,0.07570587
4735,208021,0.07570587
4748,298009,0.0059278174
4803,80311,0.048337344
4810,461538,0.078299135
4816,282754,0.028864069
4893,309778,0.040558532
4919,279906,0.12585646
4978,170574,0.017789945
4987,343275,0.012086782
5018,448044,0.033306565
5055,257115,0.045036957
5129,67748,0.03638051
5129,143362,0.03638051
5144,3672,0.014139846
5182,111737,0.039652463
5272,89766,0.0075323586
5285,129362,0.023823464
5334,466385,0.82460177
5334,466385,0.82256424
5334,466385,0.8134192
5340,48395,0.009487986
5364,272703,0.029661711
5435,208692,0.12555435
5435,356788,0.11320739
5435,339699,0.09783814
5456,72113,0.02693341
5494,371990,0.0069188173
5516,8229,0.009563734
5517,244113,0.08225675
5517,310251,0.08225675
5523,417753,0.03843106
5601,460034,0.06982976
5608,283853,0.029027048
5628,197708,0.1840912
5628,197708,0.17493404
5646,82960,0.057382286
5734,435066,0.0668794
5750,122044,0.026676305
5762,287841,0.0075323586
5776,279906,0.100848936
5842,431357,0.044517126
5868,397981,0.1840912
5868,397981,0.1840912
5905,133929,0.04444444
5925,291413,0.06314337
5925,281164,0.06314337
5948,6774,0.69865555
5948,6774,0.6536847
5948,5613,0.55612975
5948,5613,0.55612975
5967,221686,0.25010234
5967,187719,0.20843416
5967,221379,0.057684347
5967,283132,0.057684347
5967,129637,0.057684347
6006,364888,0.025295205
6015,215172,0.123862274
6015,348154,0.11611983
6054,364899,0.013973971
6056,210695,0.014583346
6056,406355,0.014583346
6063,189889,0.02839592
6073,337759,0.00369773
6080,104684,0.013705325
6097,61784,0.041353732
6099,28451,0.4186315
6111,161492,0.05420263
6127,353038,0.21880592
6167,124295,0.06919372
6167,133785,0.030783756
6195,219442,0.006709311
6250,448708,0.06380493
6262,282472,0.018131722
6274,216293,0.60232794
6274,216293,0.60232794
6317,277999,0.012744337
6321,82557,0.062348206
6358,212467,0.3731518
6358,212467,0.36474657
